timestamp,head_pitch,head_roll,head_movement,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma,heart_rate_bpm,breathing_rate_bpm
1762639172.115556,-8.132318064558357,-4.515651518630301,1.0031613517966167,243703.27002534282,27389.26574246874,25398.428427194376,2405.604303469863,93.25441316543186,53973.12258079624,7643.237089471131,2390.7485251163794,726.918417941582,787.0169198337306,4157.828451608145,167.31665948303615,272.62909607198327,64.19628156108404,80.73127110109962,475136.24092546594,51875.446153583376,9868.30934842679,1338.3818538367386,47.951228128534744,50.526315789473685,7.544204322200393
1762639173.1175091,-10.941350243494854,-8.381332110920118,1.0065125154861123,251344.77230969205,38576.28039704387,27475.359248296,2744.6592623610545,95.1212461591255,40030.611184283196,6710.464403801707,1947.402556999457,824.7676298625071,666.5709217458796,3773.614494870574,273.8456242222076,275.11650535510296,62.75939376220015,79.45414216744494,480139.6088228503,45210.20997406896,9620.631861517904,1401.2110811653952,46.99741013164545,52.244897959183675,7.68
1762639174.1399622,-4.723763900178658,-9.647287354263213,1.0042601478735769,267962.81227971223,35309.563458407094,26327.26193651464,3062.8190024988467,97.65555360830331,39252.82818337183,5750.229111872848,1788.6533511745504,900.2735758936477,686.9516353301151,3571.1953683408474,307.6802847336129,280.5885217572235,70.37100300729632,80.54496145545995,484041.9277299291,44450.015242644215,8982.545691552186,1514.2688674020665,56.436914758814424,51.891891891891895,8.03347280334728
1762639175.161719,-9.91289508472062,-8.68060405729766,1.0086803685908716,250230.8073962783,36593.6215367286,26639.07029405044,2662.0314101362624,86.75503476233887,41172.28283193447,7358.855020371012,1752.7876242047944,888.3963230422066,618.5826279249801,3501.356917185384,354.2408485206777,276.27459670102525,71.25675608005096,79.40433087088309,425073.8690099766,44569.97963476814,9637.951065966901,1571.268353037445,54.24317925145198,51.891891891891895,7.191011235955056
1762639176.172277,-5.291528265233367,-9.71066275708329,0.9880962524738865,246437.27603612372,38327.260610526915,27217.79486018172,2885.7705630970954,98.41253106247139,38962.930711943656,6298.91682573189,1389.2143855313823,868.2931720051133,691.0204352025951,3722.397724243339,435.27774002691996,263.58753755489124,69.40639306488765,80.5890475816712,447839.93271649105,42097.61098837638,9303.561917293431,1544.2066972337623,52.81653573957189,52.602739726027394,7.710843373493976
1762639177.1857438,-12.028536980757215,-9.39039116530534,1.005153386894727,241382.55639205535,61062.74436610159,25810.91701204942,3017.3010487185825,85.95028473449854,36475.43873345635,5018.6714194067945,1379.9792534388253,869.8135872425087,659.342168569795,3192.7137800080873,458.8853532540658,264.446431983698,69.59164639028448,81.81223331035636,413885.2316217825,57355.86871383071,8236.816979131365,1414.7627479435782,54.564914343735815,51.54362416107382,6.144
1762639178.2226272,16.7716995706554,-2.4374213056833227,1.0042841270972471,250805.36371685588,92039.74792511557,28592.27890411867,2762.5399948366303,92.41851258510711,33551.381195184775,6228.667494658671,1620.006821061206,792.0563942817311,532.3138323113837,3470.3605911225627,598.3255667957524,263.5329082006407,69.06792535367472,78.6791559006885,417124.322574005,88432.61274540446,7786.811476267023,1389.5892673453761,45.996375979693276,53.70629370629371,6.701570680628272
1762639179.242054,42.44801784359009,3.503058799647686,1.0207183615171918,281506.0030271963,113867.30109047359,28291.83138269222,3660.7414426821924,102.6681741079303,32508.029084013382,8474.480272948851,1579.1884835480441,923.6019056115608,626.9724636133154,3158.4336007775228,742.5261727585937,236.91953513548447,68.35685951428717,79.52073846877245,404554.05072490853,115055.97627280848,8272.820398199956,1654.4428205435256,58.045861859547685,51.2,7.245283018867925
1762639180.252791,25.637751404180772,-4.4349085020450465,0.936800641977629,260366.51581136617,132388.7469792552,31324.441848802147,2998.8557701276086,92.6746316458173,32008.732665338757,9584.070398633921,1827.626367535967,844.7346038501581,580.1400321132779,3135.793372571652,771.3197341461537,247.85559984476737,61.287378538229,77.23233460214595,338826.24467858137,124310.05318395028,8410.971723273085,1414.0211039940323,50.48852897055648,51.54362416107382,7.966804979253112
1762639181.264287,32.813339260510986,-3.9808321957781394,0.9958836204501208,258412.71279203406,130989.93520491132,28261.69675781552,2333.8668871976342,87.9377176048148,31955.05501874753,10403.406778018989,1637.851373162787,989.615778493808,607.0431465637351,3448.5421254494,877.6324378456432,244.54684239302722,64.23623395661616,78.58804851740052,306527.41668789554,137495.53223356727,6896.709860279533,1450.8014327968951,38.72240756846145,52.602739726027394,8.629213483146067
