timestamp,delta,theta,alpha,beta,gamma,heart_rate_bpm,breathing_rate_bpm,head_pitch,head_roll,head_movement
2025-11-10T09:30:20.478621Z,0.0001487089317895988,0.00022306339768439818,0.000371772329473997,0.0014116459038703397,0.0018422484371816668,,,,,
2025-11-10T09:30:21.478644Z,0.00017375578674129184,0.0002606336801119377,0.00043438946685322955,0.0015581301035265992,0.0020064919627669417,,,,,
2025-11-10T09:30:22.478668Z,0.00018164437159607968,0.0002724665573941195,0.00045411092899019914,0.001668249762495625,0.002160595379523977,,,,,
2025-11-10T09:30:23.478692Z,0.00017435906550980484,0.0002615385982647072,0.00043589766377451206,0.0016292138676455494,0.002118536804805426,,,,,
2025-11-10T09:30:24.478717Z,0.00018484906642414727,0.00027727359963622086,0.00046212266606036813,0.001627117713025721,0.0020858109548535413,,,,,
2025-11-10T09:30:25.478741Z,0.00022178216913410528,0.0003326732537011579,0.0005544554228352631,0.0018999839338096028,0.00241898422051987,,,,,
2025-11-10T09:30:26.478765Z,0.00024681357004296197,0.0003702203550644429,0.0006170339251074049,0.0021048350561174937,0.002676658093667696,,,,,
2025-11-10T09:30:27.478789Z,0.00023447022066408206,0.00035170533099612304,0.0005861755516602051,0.001987263659438084,0.002523105237241505,,,,,
2025-11-10T09:30:28.478971Z,0.00019397229266067696,0.00029095843899101543,0.00048493073165169236,0.0017055553677486574,0.0021857661689479563,,,,,
2025-11-10T09:30:29.479016Z,0.00018107413280389048,0.0002716111992058357,0.0004526853320097261,0.0015936057337813238,0.0020427616021992247,,,,,
2025-11-10T09:30:30.479048Z,0.0002402165338139633,0.00036032480072094487,0.0006005413345349081,0.002082126394465108,0.0026587959364650754,,,,,
2025-11-10T09:30:31.479075Z,0.00024327260592256158,0.00036490890888384237,0.000608181514806404,0.002137184718065525,0.0027383322523216675,,,,,
2025-11-10T09:30:32.479109Z,0.0002322737566532146,0.00034841063497982193,0.0005806843916330365,0.0020313068212934335,0.002599724395440493,,,,,
2025-11-10T09:30:33.479136Z,0.00024325817967877584,0.00036488726951816375,0.0006081454491969396,0.002071860386425651,0.002633853715180469,,,,,
2025-11-10T09:30:34.479164Z,0.00023745435731781196,0.0003561815359767179,0.0005936358932945298,0.0019986828515003133,0.0025330203619106277,,,,,
2025-11-10T09:30:35.479190Z,0.00021512019249683993,0.0003226802887452599,0.0005378004812420998,0.0018427498371180583,0.0023460632003977416,,,,,
2025-11-10T09:30:36.479236Z,0.0002079428242699612,0.0003119142364049418,0.000519857060674903,0.0017632476102331103,0.002238956268417085,,,,,
2025-11-10T09:30:37.479263Z,0.00019586995448630138,0.00029380493172945205,0.0004896748862157534,0.001701478884665437,0.0021739303429030555,,,,,
2025-11-10T09:30:38.479288Z,0.00019850827354490842,0.00029776241031736263,0.0004962706838622711,0.001731868768538923,0.0022151668637365334,,,,,
2025-11-10T09:30:39.479316Z,0.000178258126443805,0.0002673871896657075,0.00044564531610951253,0.0016247346622398572,0.0021004527055411178,,,,,
2025-11-10T09:30:40.479341Z,0.00017626020230341908,0.0002643903034551286,0.0004406505057585477,0.001620129444204799,0.002098678544278105,,,,,
2025-11-10T09:30:41.479369Z,0.0001922703775281031,0.0002884055662921546,0.00048067594382025775,0.0017456873728608356,0.0022547427394986486,,,,,
2025-11-10T09:30:42.479398Z,0.00020758859714326694,0.00031138289571490033,0.0005189714928581673,0.0018375815716480043,0.0023588824426356595,,,,,
2025-11-10T09:30:43.479422Z,0.00021467561315727831,0.0003220134197359174,0.0005366890328931957,0.0018660110196361487,0.002384525914577459,,,,,
2025-11-10T09:30:44.479448Z,0.0002086671853747786,0.0003130007780621679,0.0005216679634369465,0.0018184827662213405,0.002325304306904765,,,,,
2025-11-10T09:30:45.479478Z,0.00019590820779196924,0.00029386231168795386,0.0004897705194799231,0.0017406199780221796,0.0022364489830179733,,,,,
2025-11-10T09:30:46.479502Z,0.00020206099085346454,0.00030309148628019684,0.0005051524771336614,0.0017812995462009147,0.002284308499531763,,,,,
2025-11-10T09:30:47.479528Z,0.00021377330592874694,0.0003206599588931204,0.0005344332648218673,0.0019007264334449062,0.002442597036911359,,,,,
2025-11-10T09:30:48.479553Z,0.00021792066927510975,0.0003268810039126646,0.0005448016731877743,0.001960070587536445,0.002525935066088005,,,,,
2025-11-10T09:30:49.479578Z,0.00020230365562384499,0.00030345548343576744,0.0005057591390596125,0.0018806057529336688,0.0024425189689471043,,,,,
2025-11-10T09:30:50.479602Z,0.00020256191636050492,0.0003038428745407574,0.0005064047909012622,0.0018036272246180346,0.002318630193579442,,,,,
2025-11-10T09:30:51.479626Z,0.00016199650836836747,0.00024299476255255123,0.0004049912709209187,0.0014168514159959968,0.0018133720421621658,,,,,
2025-11-10T09:30:52.479650Z,0.00018981738434289294,0.00028472607651433936,0.0004745434608572323,0.0015236218286329363,0.0019063062496525983,,,,,
2025-11-10T09:30:53.479676Z,0.000210357000112325,0.0003155355001684874,0.0005258925002808124,0.0016698248460588023,0.002082720153379574,,,,,
2025-11-10T09:30:54.479700Z,0.000228102449996843,0.0003421536749952645,0.0005702561249921075,0.001817085619233441,0.002268650130782345,,,,,
2025-11-10T09:30:55.479726Z,0.00026125988717345917,0.0003918898307601887,0.0006531497179336479,0.002043567018545535,0.0025381795455871707,,,,,
2025-11-10T09:30:56.479750Z,0.00025406643545319374,0.00038109965317979056,0.0006351660886329842,0.0020367495546165285,0.002547413268117503,,,,,
2025-11-10T09:30:57.479773Z,0.00023790755972644673,0.00035686133958967006,0.0005947688993161168,0.0019930955263853145,0.002522811674982452,,,,,
2025-11-10T09:30:58.479797Z,0.00021995869523901967,0.0003299380428585295,0.0005498967380975491,0.0019508430271054451,0.0025054644966994574,,,,,
2025-11-10T09:30:59.479824Z,0.0002233466424950303,0.00033501996374254544,0.0005583666062375758,0.00199714668711959,0.002570064100405259,,,,,
2025-11-10T09:31:00.479851Z,0.00020809470653747556,0.0003121420598062133,0.0005202367663436888,0.0019062414021605973,0.002467321065152024,,,,,
2025-11-10T09:31:01.479877Z,0.00020847543043237847,0.0003127131456485677,0.0005211885760809462,0.0018810857896341413,0.0024260060582039665,,,,,
2025-11-10T09:31:02.479900Z,0.00023329769047512335,0.000349946535712685,0.0005832442261878083,0.0020565477234441264,0.0026372428241802567,,,,,
2025-11-10T09:31:03.479924Z,0.0002441738353958537,0.00036626075309378057,0.0006104345884896343,0.002142408293126585,0.0027441665298941456,,,,,
